news_organization_name,ranking_date,ranking,article_title,reporter_name,article_section,monthly_article_count
서울신문,20240713,1,"“100억에 샀는데…” ‘청담동 건물주’ 윤아, 6년만에 대박났다",윤예림 기자,경제,0
서울신문,20240713,2,68만원에 ‘해외캠프’…신나서 갔더니 아침마다 동상 청소,김유민 기자,세계,0
서울신문,20240713,3,‘성인방송 강요’에 딸 잃은 父…상의 찢고 “가만히 안 놔둬” 절규,윤예림 기자,사회,0
서울신문,20240713,4,“남자는 軍복무 4개월 더 해라”…의무복무 3년으로 늘어난 ‘이 나라’,김민지 기자,세계,93
서울신문,20240713,5,여행 가 ‘식물인간’ 된 딸…엄마는 “딸 죽고 범인은 출소해 사람처럼 살 거 생각하니”[전국부 사건창고],이천열 기자,사회,47
서울신문,20240713,6,“소개팅할 때 ‘못생긴男’ 데려가세요”…일본 ‘추남 대여’ 가격은,김민지 기자,세계,93
서울신문,20240713,7,"이근 “쯔양 녹취록, 내가 구제역 핸드폰 박살 내 유출”",문경근 기자,사회,136
서울신문,20240713,8,"“급발진 이렇게 많았나”…며느리·손자 태운 70대 운전자, 또 들이받았다",이보희 기자,사회,172
서울신문,20240713,9,집안일해주러 온 80대母 때려 숨지게 한 아들…TV 시청 ‘공분’,김유민 기자,사회,0
서울신문,20240713,10,"“변호인과도 연락 어려워”…쯔양, 안타까운 상태 전해졌다",김유민 기자,사회,0
서울신문,20240714,1,68만원에 ‘해외캠프’…신나서 갔더니 아침마다 동상 청소,김유민 기자,세계,0
서울신문,20240714,2,"“급발진 이렇게 많았나”…며느리·손자 태운 70대 운전자, 또 들이받았다",이보희 기자,사회,172
서울신문,20240714,3,"“총격범, 펜실베이니아 출신 20세 남성…FBI, 신원확인”",신진호 기자,세계,75
서울신문,20240714,4,이동국도 입 열었다…“누구보다 노력한 사람한테 ‘법적 대응’이라니”,조희선 기자,사회,187
서울신문,20240714,5,“남자는 軍복무 4개월 더 해라”…의무복무 3년으로 늘어난 ‘이 나라’,김민지 기자,세계,93
서울신문,20240714,6,‘스태프에 갑질 논란’ 이번엔 레드벨벳 슬기…“제가 부주의했다”,신진호 기자,생활,75
서울신문,20240714,7,"카라큘라 “쯔양, 내 억울함 풀어달라…금전 요구 안 해”",문경근 기자,사회,136
서울신문,20240714,8,스타벅스 25년 전 가격으로…아메리카노 가격 실화냐?,문경근 기자,경제,136
서울신문,20240714,9,‘쯔양 협박’ 의혹 구제역 “황금폰 제출하고 검찰 자진 출석”,하승연 기자,사회,184
서울신문,20240714,10,"백종원, ‘손석희 인터뷰’로도 연돈볼카츠 갈등 잠재우지 못했다",신진호 기자,경제,75
서울신문,20240715,1,명문대 나와 요양원 가는 ‘최악 취업난’…이력서 티셔츠 통했다,김유민 기자,세계,0
서울신문,20240715,2,“기름 나오는데 또?” 대박난 산유국…‘거대 유전’ 잭팟 터졌다,윤예림 기자,세계,0
서울신문,20240715,3,"중년 여성, 대낮에 반나체로 거리 활보… ‘충격’",문경근 기자,사회,136
서울신문,20240715,4,“평범한 소년이었다” “왕따 당해”…트럼프 저격男 동창들 평가 엇갈려,류재민 기자,세계,121
서울신문,20240715,5,"‘밀양 성폭행’ 가해자, 얼굴 내놓고 공개 사과 “평생 반성할 것”",이정수 기자,사회,168
서울신문,20240715,6,“신입 초봉이 무려?” 평균연봉 5천만원↑ 효과…역대급이라는 ‘현대차’ 임금,김민지 기자,경제,93
서울신문,20240715,7,"국과수, ‘서울시청역 참사’ 운전자 과실 판단",김소라 기자,사회,156
서울신문,20240715,8,"한국女와 결혼한 파키스탄男, 현지처 숨기고 귀화한 뒤 이혼…결말은?",권윤희 기자,사회,189
서울신문,20240715,9,"개그맨 K씨, 새벽 음주 운전 전복사고… 면허취소 수준",문경근 기자,사회,136
서울신문,20240715,10,“차마 말 안 나와”…조원희도 ‘박주호 법적 대응’ 축구협회 직격,조희선 기자,사회,187
서울신문,20240716,1,명문대 나와 요양원 가는 ‘최악 취업난’…이력서 티셔츠 통했다,김유민 기자,세계,0
서울신문,20240716,2,“기름 나오는데 또?” 대박난 산유국…‘거대 유전’ 잭팟 터졌다,윤예림 기자,세계,0
서울신문,20240716,3,“4만6000원은?”…성과금 1700만원 보내고 욕먹은 남편 [이슈픽],이보희 기자,사회,172
서울신문,20240716,4,"귀에 붕대 감은 트럼프, “싸우자” 외치자 ‘주먹 불끈’",김소라 기자,세계,156
서울신문,20240716,5,"‘쯔양 협박’ 레커 3인, 유튜브 돈줄 막혔다",민나리 기자,사회,28
서울신문,20240716,6,"20년 무명 딛고 트로트 4대 천왕…현철, 오랜 투병 끝 별세",김유민 기자,생활,0
서울신문,20240716,7,“손 넣어 가슴 만져달라” 압구정·홍대 활보하던 일당… 결국 법정 선다,이정수 기자,사회,168
서울신문,20240716,8,‘월 238만원’ 필리핀 이모님 부담되네… 최저임금 적용 논란,유승혁 기자,사회,13
서울신문,20240716,9,“동남아 마사지 받았다가 수술” 7000원 업소 간 남성의 후회,이정수 기자,사회,168
서울신문,20240716,10,“유튜브 XX들 깡패” “수익 정지되면 어떡하게” 구제역·카라큘라 대화 현실로,류재민 기자,사회,121
서울신문,20240717,1,"“백종원, 30년 공들였는데”…백종원 회사, 몸값 ‘4000억’ 대박날 수 있을까",김민지 기자,경제,93
서울신문,20240717,2,"“여보”…무면허 여고생들 킥보드에 노부부 참변, 아내 사망",권윤희 기자,사회,189
서울신문,20240717,3,"“총알이 귀 관통” 트럼프 구사일생…“아, 아깝다” FBI 직원글 논란",김유민 기자,세계,0
서울신문,20240717,4,"“수치스럽다”…女동창생 폭행해 ‘식물인간’ 만든 20대男, 선처 호소",이보희 기자,사회,172
서울신문,20240717,5,"민희진, 파묘, 러브버그 된 의정부고…올해도 ‘빵’ 터졌다",김유민 기자,생활,0
서울신문,20240717,6,‘풍성한 장발’ 19세 한동훈 공개…나·원·윤의 청춘은,류재민 기자,정치,121
서울신문,20240717,7,“오타니 결혼식?” 깜짝 놀라게 한 현장 ‘포착’…日 환호한 사진,윤예림 기자,세계,0
서울신문,20240717,8,"카페 여직원 음료에 ‘체액’ 넣은 남성, 경찰에 자수",문경근 기자,사회,136
서울신문,20240717,9,"한강 뛰어내리는 시민, 유튜브 실시간 송출… 1분도 안돼 구조대 출동",이정수 기자,사회,168
서울신문,20240717,10,Q.미복귀 1만명 선택지? A.개원 등 가능하지만 필수의료는 차질,이현정 기자,사회,35
서울신문,20240718,1,이방카가 아니네? ‘귀에 거즈’ 트럼프 흐뭇하게 한 여성 정체,김유민 기자,세계,0
서울신문,20240718,2,이준석 “조국 딸 조민이랑 왜 결혼했냐 따지는 어르신 많아”,권윤희 기자,정치,189
서울신문,20240718,3,‘81세’ 바이든 유세 재개하자마자…“코로나 양성”,김유민 기자,세계,0
서울신문,20240718,4,"“수치스럽다”…女동창생 폭행해 ‘식물인간’ 만든 20대男, 선처 호소",이보희 기자,사회,172
서울신문,20240718,5,휴가 나온 군인에 재룟값만 받은 식당…몇 시간 뒤 생긴 일,권윤희 기자,사회,189
서울신문,20240718,6,“연진이 죄수복?”…한국 대표팀 단복 조롱한 中 블로거,이보희 기자,사회,172
서울신문,20240718,7,한반도 허리가 잠겼다,이종익 외 4명,사회,0
서울신문,20240718,8,"설운도, 이자연도 ‘눈물바다’…현철, 동료가수 배웅 속 떠났다",윤예림 기자,생활,0
서울신문,20240718,9,“희귀하다” 단발머리 무리 포착에 ‘발칵’…은둔 생활중 나타났다(영상),윤예림 기자,세계,0
서울신문,20240718,10,"정부 “미복귀 전공의, 군 입대해야”…지방 전공의도 ‘빅5’ 올 수 있어",조희선 기자,사회,187
서울신문,20240719,1,"“나 때렸던 선생 나와” 중학교 뒤엎은 졸업생, 알고보니",권윤희 기자,사회,189
서울신문,20240719,2,“몸은 20대”…흰머리 빼고 그대로라는 61세 ‘동안 비결’,김유민 기자,생활,0
서울신문,20240719,3,"‘만취 사고’ 개그맨, 사흘 만에 입장…“중환자실 있었다”",권윤희 기자,사회,189
서울신문,20240719,4,"“욱일기 벤츠 女차주, 스티커 찢자 경찰 신고” 끊이지 않는 목격담",이정수 기자,사회,168
서울신문,20240719,5,"400만원에 산 명품백, “원가는 8만원” 충격…‘장인정신’ 없었다",윤예림 기자,세계,0
서울신문,20240719,6,“행복감 느끼다 사망”…부부 ‘동반 안락사’ 돕는다는 기계,김유민 기자,세계,0
서울신문,20240719,7,이준석 “조국 딸 조민이랑 왜 결혼했냐 따지는 어르신 많아”,권윤희 기자,정치,189
서울신문,20240719,8,“중국인·한국인은 거절합니다” 日식당 안내문 혐중·혐한 논란,이정수 기자,세계,168
서울신문,20240719,9,"“구제역 협박 사실” 쯔양, 증거영상 공개…‘전남친 변호사’, 제보자였다",윤예림 기자,사회,0
서울신문,20240719,10,“04년생인데 담배 피워”…日 체조요정 대표팀 퇴출,김유민 기자,세계,0
서울신문,20240720,1,“몸은 20대”…흰머리 빼고 그대로라는 61세 ‘동안 비결’,김유민 기자,생활,0
서울신문,20240720,2,"400만원에 산 명품백, “원가는 8만원” 충격…‘장인정신’ 없었다",윤예림 기자,세계,0
서울신문,20240720,3,"“릴스 찍다 미끌”…‘30만 팔로워’ 인플루언서, 폭포서 추락사",이보희 기자,세계,172
서울신문,20240720,4,계모가 “연필로 200번 찌르고 의자에 16시간 묶어” 사망…‘살해 고의성’ 다시 따진다[전국부 사건창고],이천열 기자,사회,47
서울신문,20240720,5,"“역겨운 광고”…女모델 기용했다 ‘날벼락’ 아디다스, 무슨 일이",류재민 기자,세계,121
서울신문,20240720,6,시부모 파묘해 유골 태우고 빻은 며느리…무슨 일?,류재민 기자,사회,121
서울신문,20240720,7,“상의 탈의하면 22만원·개똥 안 치우면 113만원”…강력조치 선포한 이 도시,류재민 기자,세계,121
서울신문,20240720,8,"“귀찮은 할아버지” 17살 트럼프 손녀, 전대 뒤집더니…반응 터졌다",윤예림 기자,세계,0
서울신문,20240720,9,"“직원 물리고 단둘이 대화”…홍명보, 런던서 손흥민과 1시간 독대",김민지 기자,세계,93
서울신문,20240720,10,"“봉사하려 했는데”…김호중, 뺑소니 조사 중 1500만원 기부한 사연",김민지 기자,사회,93
서울신문,20240721,1,“전 안 먹을게요” 기내식·물 사양한 승객 정체 눈치 챈 승무원,신진호 기자,세계,75
서울신문,20240721,2,“日 제치고 세계 1위” CNN이 한국에 깜짝 놀란 이유,류재민 기자,경제,121
서울신문,20240721,3,아기 거실서 울고 있는데…화장실 갔다 갇힌 아빠의 4시간 사투,신진호 기자,사회,75
서울신문,20240721,4,태풍 ‘개미’ 어디로 갈까…장맛비 뿌리는 정체전선 북상,신진호 기자,사회,75
서울신문,20240721,5,트럼프 “김정은에 ‘핵’ 많으니 야구나 보자고”…“바이든 IQ는 70”,권윤희 기자,세계,189
서울신문,20240721,6,장마 아직 안 끝났는데…3호 태풍 ‘개미’ 발생 비상,류재민 기자,사회,121
서울신문,20240721,7,“일본여행 가도 되나”…변이바이러스 확산·코로나 환자 10주 연속 증가,류재민 기자,세계,121
서울신문,20240721,8,"“매주 방문한다” 데미 무어, 前남편 치매 악화에 간병",류재민 기자,세계,121
서울신문,20240721,9,"‘조작설’ 나왔던 로또, 1등 63명→11명 ‘뚝’",류재민 기자,사회,121
서울신문,20240721,10,식당에 앉았을 뿐인데…브라질 독거미 물린 60대 男 사망,류재민 기자,세계,121
서울신문,20240722,1,제니·이영지도 들었다…명품 대신 ‘엄마 가방’ 찾는 Z세대,김유민 기자,생활,0
서울신문,20240722,2,“전 안 먹을게요” 기내식·물 사양한 승객 정체 눈치 챈 승무원,신진호 기자,세계,75
서울신문,20240722,3,바이든 퇴장…‘트럼프와 맞대결’ 1순위 해리스는 누구?,문경근 기자,세계,136
서울신문,20240722,4,태풍 ‘개미’ 어디로 갈까…장맛비 뿌리는 정체전선 북상,신진호 기자,사회,75
서울신문,20240722,5,"“아빠 성 지웠다” 공개 망신…브래드 피트, 친딸 행동에 큰 슬픔 빠졌다",김민지 기자,세계,93
서울신문,20240722,6,"“블랙핑크 떠나고 속절없는 추락” 경고등에…양현석, 8년 만에 큰 결심",김민지 기자,생활,93
서울신문,20240722,7,“이별 통보했다”…카페로 ‘쾅’ 돌진 뒤 여주인 살해한 남성,이보희 기자,사회,172
서울신문,20240722,8,"“한국서 번 돈, 가족들 안 줘요”…외국인 근로자들 ‘돌변’한 사연",윤예림 기자,경제,0
서울신문,20240722,9,"“정우성, 유엔난민기구 친선대사 사임…정치적 공격 끝없어”",조희선 기자,사회,187
서울신문,20240722,10,김태호PD 예능인데 ‘시청률 0% 충격’…손석희 “제목 이게 뭐냐”,류재민 기자,생활,121
서울신문,20240723,1,제니·이영지도 들었다…명품 대신 ‘엄마 가방’ 찾는 Z세대,김유민 기자,생활,0
서울신문,20240723,2,“트럼프 이겨야”…바이든 사퇴에 ‘땡큐’ 700억 쏟아졌다,김유민 기자,세계,0
서울신문,20240723,3,"진주 목걸이, 보라색 재킷 “완전 해리스”…소름돋는 ‘심슨’의 예측",윤예림 기자,세계,0
서울신문,20240723,4,동반 교통사고서 애인은 사망…‘영혼결혼식’ 후 시모 모신다는 대만여성,권윤희 기자,세계,189
